drift_event_id,control_name,control_type,severity,change_type,status,baseline_value,current_value,change_date,change_hour,operator_name,operator_email,approver_name,approver_email,change_reason,compliance_impact,is_regression,is_off_hours,risk_score,score_breakdown,classification
DRF00659,Control-99,Vulnerability,Medium,Update,Mitigated,enabled=True,enabled=False,2025-04-26 06:18:00,6,Timothy Quinn,timothy.quinn@company.com,Sofia Robinson,sofia.robinson@company.com,Performance Tuning,NIST,True,True,55,"{""severity"": 15, ""status"": 5, ""change_type"": 5, ""regression"": 10, ""off_hours"": 10, ""compliance_impact"": 10}",MEDIUM_DRIFT
DRF00561,Control-55,Access_Control,Critical,Disable,Compliant,enabled=False,enabled=True,2025-04-26 19:09:00,19,Ronald Park,ronald.park@company.com,Anthony Hernandez,anthony.hernandez@company.com,Troubleshooting,,False,False,55,"{""severity"": 40, ""status"": -10, ""change_type"": 25, ""regression"": 0, ""off_hours"": 0, ""compliance_impact"": 0}",HIGH_DRIFT
DRF00718,Control-48,Data_Protection,Info,Disable,Under_Review,enabled=False,enabled=False,2025-04-26 20:23:00,20,Christopher Miller,christopher.miller@company.com,Robert Fischer,robert.fischer@company.com,Policy Change,GDPR,True,False,50,"{""severity"": 0, ""status"": 15, ""change_type"": 25, ""regression"": 0, ""off_hours"": 0, ""compliance_impact"": 10}",BENIGN
DRF00741,Control-62,Firewall,Medium,Update,Mitigated,enabled=False,enabled=False,2025-04-27 13:52:00,13,Karan Sullivan,karan.sullivan@company.com,Vikram Fischer,vikram.fischer@company.com,Emergency Fix,NIST,True,False,45,"{""severity"": 15, ""status"": 5, ""change_type"": 5, ""regression"": 10, ""off_hours"": 0, ""compliance_impact"": 10}",MEDIUM_DRIFT
DRF00837,Control-32,Vulnerability,High,Disable,Under_Review,enabled=False,enabled=False,2025-04-28 13:41:00,13,Elena Murphy,elena.murphy@company.com,David Gupta,david.gupta@company.com,Troubleshooting,ISO,True,False,100,"{""severity"": 30, ""status"": 15, ""change_type"": 25, ""regression"": 20, ""off_hours"": 0, ""compliance_impact"": 10}",HIGH_DRIFT
DRF00715,Control-33,Network_Segmentation,Critical,Modify,Drifted,enabled=False,enabled=False,2025-04-29 04:17:00,4,Fatima Yang,fatima.yang@company.com,Richard Burke,richard.burke@company.com,Troubleshooting,,True,True,110,"{""severity"": 40, ""status"": 30, ""change_type"": 10, ""regression"": 20, ""off_hours"": 10, ""compliance_impact"": 0}",CRITICAL_DRIFT
DRF00709,Control-35,Encryption,High,Enable,Compliant,enabled=False,enabled=False,2025-04-29 13:12:00,13,Jonathan Verma,jonathan.verma@company.com,Riya Bhat,riya.bhat@company.com,Emergency Fix,NIST,True,False,45,"{""severity"": 30, ""status"": -10, ""change_type"": -5, ""regression"": 20, ""off_hours"": 0, ""compliance_impact"": 10}",MEDIUM_DRIFT
DRF00809,Control-87,Encryption,Low,Modify,Compliant,enabled=False,enabled=True,2025-04-30 23:04:00,23,Jonathan Sanchez,jonathan.sanchez@company.com,Diya Das,diya.das@company.com,Performance Tuning,NIST,False,False,15,"{""severity"": 5, ""status"": -10, ""change_type"": 10, ""regression"": 0, ""off_hours"": 0, ""compliance_impact"": 10}",BENIGN
DRF00633,Control-67,DLP,High,Update,Mitigated,enabled=True,enabled=False,2025-04-30 23:23:00,23,Elena Garcia,elena.garcia@company.com,Eric Schmidt,eric.schmidt@company.com,Performance Tuning,GDPR,True,False,70,"{""severity"": 30, ""status"": 5, ""change_type"": 5, ""regression"": 20, ""off_hours"": 0, ""compliance_impact"": 10}",HIGH_DRIFT
DRF00661,Control-63,Data_Protection,Low,Enable,Under_Review,enabled=True,enabled=True,2025-05-01 04:44:00,4,Kevin Xu,kevin.xu@company.com,Fatima Menon,fatima.menon@company.com,Troubleshooting,GDPR,False,True,35,"{""severity"": 5, ""status"": 15, ""change_type"": -5, ""regression"": 0, ""off_hours"": 10, ""compliance_impact"": 10}",MEDIUM_DRIFT
DRF00816,Control-95,Cloud_Security,Critical,Modify,Drifted,enabled=False,enabled=False,2025-05-02 04:00:00,4,Nikhil Schmidt,nikhil.schmidt@company.com,Raja Clark,raja.clark@company.com,Security Update,NIST,True,True,120,"{""severity"": 40, ""status"": 30, ""change_type"": 10, ""regression"": 20, ""off_hours"": 10, ""compliance_impact"": 10}",CRITICAL_DRIFT
DRF00727,Control-20,Cloud_Security,Medium,Modify,Under_Review,enabled=True,enabled=False,2025-05-02 11:20:00,11,Jonathan White,jonathan.white@company.com,Riya Perez,riya.perez@company.com,Policy Change,CIS,True,False,60,"{""severity"": 15, ""status"": 15, ""change_type"": 10, ""regression"": 10, ""off_hours"": 0, ""compliance_impact"": 10}",MEDIUM_DRIFT
DRF00534,Control-60,Logging,Medium,Enable,Drifted,enabled=False,enabled=False,2025-05-02 20:32:00,20,Nikhil Jones,nikhil.jones@company.com,Neha Johnson,neha.johnson@company.com,Troubleshooting,PCI,True,False,60,"{""severity"": 15, ""status"": 30, ""change_type"": -5, ""regression"": 10, ""off_hours"": 0, ""compliance_impact"": 10}",MEDIUM_DRIFT
DRF00699,Control-98,Access_Control,High,Remove,Compliant,enabled=True,enabled=True,2025-05-03 07:21:00,7,Charles Das,charles.das@company.com,Fatima Yang,fatima.yang@company.com,Security Update,GDPR,False,False,50,"{""severity"": 30, ""status"": -10, ""change_type"": 20, ""regression"": 0, ""off_hours"": 0, ""compliance_impact"": 10}",HIGH_DRIFT
DRF00605,Control-99,Data_Protection,Critical,Enable,Under_Review,enabled=False,enabled=True,2025-05-03 19:13:00,19,Edward Choi,edward.choi@company.com,Pooja Chen,pooja.chen@company.com,Policy Change,GDPR,False,False,60,"{""severity"": 40, ""status"": 15, ""change_type"": -5, ""regression"": 0, ""off_hours"": 0, ""compliance_impact"": 10}",HIGH_DRIFT
DRF00806,Control-60,Cloud_Security,Info,Disable,Mitigated,enabled=True,enabled=True,2025-05-03 22:28:00,22,Paul Hernandez,paul.hernandez@company.com,Neha Burke,neha.burke@company.com,Troubleshooting,NIST,False,False,40,"{""severity"": 0, ""status"": 5, ""change_type"": 25, ""regression"": 0, ""off_hours"": 0, ""compliance_impact"": 10}",BENIGN
DRF00898,Control-48,Firewall,Low,Update,Under_Review,enabled=True,enabled=False,2025-05-04 18:45:00,18,Edward Sullivan,edward.sullivan@company.com,Shruti Menon,shruti.menon@company.com,Policy Change,CIS,True,False,35,"{""severity"": 5, ""status"": 15, ""change_type"": 5, ""regression"": 0, ""off_hours"": 0, ""compliance_impact"": 10}",MEDIUM_DRIFT
DRF00924,Control-61,Access_Control,Info,Remove,Under_Review,enabled=False,enabled=False,2025-05-05 15:11:00,15,Deepika He,deepika.he@company.com,Andrew Nair,andrew.nair@company.com,Performance Tuning,,True,False,35,"{""severity"": 0, ""status"": 15, ""change_type"": 20, ""regression"": 0, ""off_hours"": 0, ""compliance_impact"": 0}",BENIGN
DRF00862,Control-75,Endpoint,Info,Disable,Compliant,enabled=False,enabled=False,2025-05-06 19:51:00,19,Harsh Verma,harsh.verma@company.com,Eric Choi,eric.choi@company.com,Policy Change,NIST,True,False,25,"{""severity"": 0, ""status"": -10, ""change_type"": 25, ""regression"": 0, ""off_hours"": 0, ""compliance_impact"": 10}",BENIGN
DRF00698,Control-64,Vulnerability,Medium,Disable,Compliant,enabled=True,enabled=False,2025-05-08 00:36:00,0,Joseph Reilly,joseph.reilly@company.com,Diya Wagner,diya.wagner@company.com,Policy Change,GDPR,True,True,60,"{""severity"": 15, ""status"": -10, ""change_type"": 25, ""regression"": 10, ""off_hours"": 10, ""compliance_impact"": 10}",MEDIUM_DRIFT
DRF00555,Control-25,Logging,Low,Rollback,Drifted,enabled=False,enabled=False,2025-05-08 05:54:00,5,Fatima Gonzalez,fatima.gonzalez@company.com,David Hwang,david.hwang@company.com,Performance Tuning,CIS,True,True,55,"{""severity"": 5, ""status"": 30, ""change_type"": 0, ""regression"": 0, ""off_hours"": 10, ""compliance_impact"": 10}",MEDIUM_DRIFT
DRF00587,Control-21,Network_Segmentation,Medium,Modify,Compliant,enabled=True,enabled=True,2025-05-09 00:32:00,0,Priya Schneider,priya.schneider@company.com,Christopher Reilly,christopher.reilly@company.com,Emergency Fix,PCI,False,True,35,"{""severity"": 15, ""status"": -10, ""change_type"": 10, ""regression"": 0, ""off_hours"": 10, ""compliance_impact"": 10}",MEDIUM_DRIFT
DRF00848,Control-6,DLP,Medium,Modify,Remediated,enabled=False,enabled=False,2025-05-09 02:08:00,2,Elena Thomas,elena.thomas@company.com,Timothy Murphy,timothy.murphy@company.com,Performance Tuning,ISO,True,True,45,"{""severity"": 15, ""status"": -10, ""change_type"": 10, ""regression"": 10, ""off_hours"": 10, ""compliance_impact"": 10}",MEDIUM_DRIFT
DRF00675,Control-4,Data_Protection,Critical,Update,Remediated,enabled=False,enabled=False,2025-05-09 20:43:00,20,Thomas Hernandez,thomas.hernandez@company.com,Amara Clark,amara.clark@company.com,Troubleshooting,GDPR,True,False,65,"{""severity"": 40, ""status"": -10, ""change_type"": 5, ""regression"": 20, ""off_hours"": 0, ""compliance_impact"": 10}",HIGH_DRIFT
DRF00773,Control-70,Encryption,Medium,Update,Remediated,enabled=True,enabled=True,2025-05-10 19:19:00,19,Nicholas Martinez,nicholas.martinez@company.com,Matthew Park,matthew.park@company.com,Security Update,CIS,False,False,20,"{""severity"": 15, ""status"": -10, ""change_type"": 5, ""regression"": 0, ""off_hours"": 0, ""compliance_impact"": 10}",BENIGN
DRF00645,Control-8,Logging,Low,Rollback,Mitigated,enabled=False,enabled=True,2025-05-11 12:45:00,12,Sophia Reilly,sophia.reilly@company.com,Shruti Taylor,shruti.taylor@company.com,Troubleshooting,NIST,False,False,20,"{""severity"": 5, ""status"": 5, ""change_type"": 0, ""regression"": 0, ""off_hours"": 0, ""compliance_impact"": 10}",BENIGN
DRF00513,Control-21,Data_Protection,Low,Remove,Remediated,enabled=False,enabled=False,2025-05-11 21:01:00,21,Christopher Lim,christopher.lim@company.com,Aisha Schmidt,aisha.schmidt@company.com,Policy Change,GDPR,True,False,25,"{""severity"": 5, ""status"": -10, ""change_type"": 20, ""regression"": 0, ""off_hours"": 0, ""compliance_impact"": 10}",BENIGN
DRF00526,Control-45,Vulnerability,Info,Rollback,Under_Review,enabled=False,enabled=True,2025-05-11 21:53:00,21,Kenneth Lewis,kenneth.lewis@company.com,Michael Smith,michael.smith@company.com,Policy Change,CIS,False,False,25,"{""severity"": 0, ""status"": 15, ""change_type"": 0, ""regression"": 0, ""off_hours"": 0, ""compliance_impact"": 10}",BENIGN
DRF00728,Control-81,Cloud_Security,High,Remove,Under_Review,enabled=True,enabled=True,2025-05-12 11:58:00,11,Charles Hernandez,charles.hernandez@company.com,Brian Harris,brian.harris@company.com,Policy Change,NIST,False,False,75,"{""severity"": 30, ""status"": 15, ""change_type"": 20, ""regression"": 0, ""off_hours"": 0, ""compliance_impact"": 10}",HIGH_DRIFT
DRF00789,Control-95,Cloud_Security,High,Disable,Compliant,enabled=True,enabled=False,2025-05-12 14:18:00,14,Paul Patel,paul.patel@company.com,Steven Xu,steven.xu@company.com,Policy Change,CIS,True,False,75,"{""severity"": 30, ""status"": -10, ""change_type"": 25, ""regression"": 20, ""off_hours"": 0, ""compliance_impact"": 10}",HIGH_DRIFT
DRF00763,Control-93,DLP,High,Update,Remediated,enabled=False,enabled=False,2025-05-13 05:16:00,5,Sofia Guo,sofia.guo@company.com,Leila Lim,leila.lim@company.com,Policy Change,NIST,True,True,65,"{""severity"": 30, ""status"": -10, ""change_type"": 5, ""regression"": 20, ""off_hours"": 10, ""compliance_impact"": 10}",HIGH_DRIFT
DRF00948,Control-56,Access_Control,Info,Remove,Compliant,enabled=False,enabled=True,2025-05-13 08:48:00,8,Anthony Fischer,anthony.fischer@company.com,Pooja Verma,pooja.verma@company.com,Policy Change,NIST,False,False,20,"{""severity"": 0, ""status"": -10, ""change_type"": 20, ""regression"": 0, ""off_hours"": 0, ""compliance_impact"": 10}",BENIGN
DRF00761,Control-1,Vulnerability,Critical,Modify,Remediated,enabled=False,enabled=False,2025-05-13 08:55:00,8,Sanjana Davis,sanjana.davis@company.com,Karan Martinez,karan.martinez@company.com,Troubleshooting,,True,False,60,"{""severity"": 40, ""status"": -10, ""change_type"": 10, ""regression"": 20, ""off_hours"": 0, ""compliance_impact"": 0}",HIGH_DRIFT
DRF00721,Control-42,Firewall,Low,Modify,Compliant,enabled=True,enabled=False,2025-05-13 12:43:00,12,Ryan Li,ryan.li@company.com,Ryan Huang,ryan.huang@company.com,Security Update,NIST,True,False,15,"{""severity"": 5, ""status"": -10, ""change_type"": 10, ""regression"": 0, ""off_hours"": 0, ""compliance_impact"": 10}",BENIGN
DRF00977,Control-71,Firewall,Low,Enable,Under_Review,enabled=False,enabled=False,2025-05-13 16:26:00,16,Priya Han,priya.han@company.com,Zainab Hwang,zainab.hwang@company.com,Performance Tuning,,True,False,15,"{""severity"": 5, ""status"": 15, ""change_type"": -5, ""regression"": 0, ""off_hours"": 0, ""compliance_impact"": 0}",BENIGN
DRF00632,Control-89,Encryption,Low,Update,Drifted,enabled=True,enabled=True,2025-05-13 16:33:00,16,Shruti Han,shruti.han@company.com,Maria Jones,maria.jones@company.com,Troubleshooting,GDPR,False,False,50,"{""severity"": 5, ""status"": 30, ""change_type"": 5, ""regression"": 0, ""off_hours"": 0, ""compliance_impact"": 10}",MEDIUM_DRIFT
DRF00600,Control-89,Encryption,Info,Update,Mitigated,enabled=True,enabled=True,2025-05-14 15:56:00,15,Joshua Meyer,joshua.meyer@company.com,Andrew Mishra,andrew.mishra@company.com,Emergency Fix,CIS,False,False,20,"{""severity"": 0, ""status"": 5, ""change_type"": 5, ""regression"": 0, ""off_hours"": 0, ""compliance_impact"": 10}",BENIGN
DRF00881,Control-77,Data_Protection,Low,Update,Drifted,enabled=True,enabled=True,2025-05-15 00:01:00,0,Richard Chen,richard.chen@company.com,Steven Kumar,steven.kumar@company.com,Performance Tuning,CIS,False,True,60,"{""severity"": 5, ""status"": 30, ""change_type"": 5, ""regression"": 0, ""off_hours"": 10, ""compliance_impact"": 10}",MEDIUM_DRIFT
DRF00689,Control-85,Vulnerability,Medium,Update,Compliant,enabled=False,enabled=True,2025-05-15 12:36:00,12,Priya Kumar,priya.kumar@company.com,Richard Huang,richard.huang@company.com,Policy Change,ISO,False,False,20,"{""severity"": 15, ""status"": -10, ""change_type"": 5, ""regression"": 0, ""off_hours"": 0, ""compliance_impact"": 10}",BENIGN
DRF00649,Control-35,Data_Protection,Medium,Remove,Drifted,enabled=False,enabled=False,2025-05-15 14:38:00,14,Richard Sullivan,richard.sullivan@company.com,Harsh Muller,harsh.muller@company.com,Security Update,CIS,True,False,85,"{""severity"": 15, ""status"": 30, ""change_type"": 20, ""regression"": 10, ""off_hours"": 0, ""compliance_impact"": 10}",MEDIUM_DRIFT
DRF00662,Control-35,Logging,Low,Update,Remediated,enabled=True,enabled=False,2025-05-15 17:12:00,17,Isha Martinez,isha.martinez@company.com,Harsh Quinn,harsh.quinn@company.com,Emergency Fix,PCI,True,False,10,"{""severity"": 5, ""status"": -10, ""change_type"": 5, ""regression"": 0, ""off_hours"": 0, ""compliance_impact"": 10}",BENIGN
DRF00855,Control-32,Cloud_Security,Low,Modify,Remediated,enabled=True,enabled=False,2025-05-17 04:43:00,4,Donald Becker,donald.becker@company.com,Richard Moore,richard.moore@company.com,Security Update,,True,True,15,"{""severity"": 5, ""status"": -10, ""change_type"": 10, ""regression"": 0, ""off_hours"": 10, ""compliance_impact"": 0}",BENIGN
DRF00759,Control-44,Data_Protection,Medium,Rollback,Remediated,enabled=False,enabled=False,2025-05-17 06:50:00,6,Gary Muller,gary.muller@company.com,William Reilly,william.reilly@company.com,Performance Tuning,,True,True,25,"{""severity"": 15, ""status"": -10, ""change_type"": 0, ""regression"": 10, ""off_hours"": 10, ""compliance_impact"": 0}",BENIGN
DRF00879,Control-39,Network_Segmentation,Low,Enable,Remediated,enabled=False,enabled=True,2025-05-18 08:22:00,8,Zainab Quinn,zainab.quinn@company.com,Nicholas Patel,nicholas.patel@company.com,Policy Change,CIS,False,False,0,"{""severity"": 5, ""status"": -10, ""change_type"": -5, ""regression"": 0, ""off_hours"": 0, ""compliance_impact"": 10}",BENIGN
DRF00614,Control-56,DLP,Low,Rollback,Mitigated,enabled=False,enabled=True,2025-05-18 15:44:00,15,Christopher Schmidt,christopher.schmidt@company.com,Aisha Kim,aisha.kim@company.com,Performance Tuning,ISO,False,False,20,"{""severity"": 5, ""status"": 5, ""change_type"": 0, ""regression"": 0, ""off_hours"": 0, ""compliance_impact"": 10}",BENIGN
DRF00615,Control-70,Data_Protection,High,Update,Drifted,enabled=False,enabled=False,2025-05-18 20:43:00,20,Joshua Taylor,joshua.taylor@company.com,Edward Williams,edward.williams@company.com,Emergency Fix,ISO,True,False,95,"{""severity"": 30, ""status"": 30, ""change_type"": 5, ""regression"": 20, ""off_hours"": 0, ""compliance_impact"": 10}",HIGH_DRIFT
DRF00586,Control-53,Access_Control,Medium,Disable,Compliant,enabled=True,enabled=False,2025-05-19 00:38:00,0,Sophia Williams,sophia.williams@company.com,Zainab Patel,zainab.patel@company.com,Security Update,PCI,True,True,60,"{""severity"": 15, ""status"": -10, ""change_type"": 25, ""regression"": 10, ""off_hours"": 10, ""compliance_impact"": 10}",MEDIUM_DRIFT
DRF00788,Control-84,Logging,High,Modify,Remediated,enabled=True,enabled=True,2025-05-19 08:44:00,8,Nikhil Guo,nikhil.guo@company.com,Thomas Wang,thomas.wang@company.com,Security Update,,False,False,30,"{""severity"": 30, ""status"": -10, ""change_type"": 10, ""regression"": 0, ""off_hours"": 0, ""compliance_impact"": 0}",MEDIUM_DRIFT
DRF00760,Control-4,DLP,High,Update,Mitigated,enabled=False,enabled=False,2025-05-20 00:51:00,0,Matthew Robinson,matthew.robinson@company.com,Edward Liu,edward.liu@company.com,Security Update,NIST,True,True,80,"{""severity"": 30, ""status"": 5, ""change_type"": 5, ""regression"": 20, ""off_hours"": 10, ""compliance_impact"": 10}",HIGH_DRIFT
DRF00640,Control-13,Vulnerability,High,Disable,Under_Review,enabled=True,enabled=True,2025-05-21 08:26:00,8,Diya Verma,diya.verma@company.com,Pooja Schneider,pooja.schneider@company.com,Emergency Fix,ISO,False,False,80,"{""severity"": 30, ""status"": 15, ""change_type"": 25, ""regression"": 0, ""off_hours"": 0, ""compliance_impact"": 10}",HIGH_DRIFT
DRF00694,Control-67,Data_Protection,Low,Enable,Drifted,enabled=True,enabled=False,2025-05-22 09:34:00,9,Raja Anderson,raja.anderson@company.com,Sofia Sharma,sofia.sharma@company.com,Performance Tuning,GDPR,True,False,40,"{""severity"": 5, ""status"": 30, ""change_type"": -5, ""regression"": 0, ""off_hours"": 0, ""compliance_impact"": 10}",MEDIUM_DRIFT
DRF00891,Control-53,Vulnerability,Critical,Rollback,Compliant,enabled=False,enabled=True,2025-05-23 11:57:00,11,Charles Muller,charles.muller@company.com,Robert O'Brien,robert.o'brien@company.com,Emergency Fix,PCI,False,False,40,"{""severity"": 40, ""status"": -10, ""change_type"": 0, ""regression"": 0, ""off_hours"": 0, ""compliance_impact"": 10}",MEDIUM_DRIFT
DRF00971,Control-16,Cloud_Security,Low,Rollback,Remediated,enabled=True,enabled=False,2025-05-24 12:10:00,12,Matthew Sanchez,matthew.sanchez@company.com,Nicholas Miller,nicholas.miller@company.com,Policy Change,GDPR,True,False,5,"{""severity"": 5, ""status"": -10, ""change_type"": 0, ""regression"": 0, ""off_hours"": 0, ""compliance_impact"": 10}",BENIGN
DRF00960,Control-50,Access_Control,High,Modify,Under_Review,enabled=True,enabled=True,2025-05-25 13:01:00,13,Larry Lee,larry.lee@company.com,Timothy Wilson,timothy.wilson@company.com,Policy Change,CIS,False,False,65,"{""severity"": 30, ""status"": 15, ""change_type"": 10, ""regression"": 0, ""off_hours"": 0, ""compliance_impact"": 10}",HIGH_DRIFT
DRF00663,Control-30,Logging,Critical,Remove,Compliant,enabled=False,enabled=False,2025-05-26 11:16:00,11,Arjun Garcia,arjun.garcia@company.com,Akshay Perez,akshay.perez@company.com,Troubleshooting,GDPR,True,False,80,"{""severity"": 40, ""status"": -10, ""change_type"": 20, ""regression"": 20, ""off_hours"": 0, ""compliance_impact"": 10}",CRITICAL_DRIFT
DRF00573,Control-65,Endpoint,Info,Modify,Compliant,enabled=True,enabled=False,2025-05-28 12:23:00,12,Jacob Sharma,jacob.sharma@company.com,Kevin Han,kevin.han@company.com,Security Update,,True,False,0,"{""severity"": 0, ""status"": -10, ""change_type"": 10, ""regression"": 0, ""off_hours"": 0, ""compliance_impact"": 0}",BENIGN
DRF00822,Control-84,Firewall,Critical,Disable,Remediated,enabled=False,enabled=True,2025-05-29 18:13:00,18,Ryan Ghosh,ryan.ghosh@company.com,Eric Jang,eric.jang@company.com,Policy Change,ISO,False,False,65,"{""severity"": 40, ""status"": -10, ""change_type"": 25, ""regression"": 0, ""off_hours"": 0, ""compliance_impact"": 10}",HIGH_DRIFT
DRF00729,Control-23,Access_Control,Critical,Disable,Remediated,enabled=False,enabled=True,2025-05-30 03:43:00,3,Mark Bhat,mark.bhat@company.com,Maria Sullivan,maria.sullivan@company.com,Troubleshooting,CIS,False,True,75,"{""severity"": 40, ""status"": -10, ""change_type"": 25, ""regression"": 0, ""off_hours"": 10, ""compliance_impact"": 10}",CRITICAL_DRIFT
DRF00946,Control-57,Logging,Medium,Enable,Drifted,enabled=True,enabled=True,2025-05-30 07:52:00,7,Donald Reilly,donald.reilly@company.com,William Moore,william.moore@company.com,Performance Tuning,ISO,False,False,50,"{""severity"": 15, ""status"": 30, ""change_type"": -5, ""regression"": 0, ""off_hours"": 0, ""compliance_impact"": 10}",MEDIUM_DRIFT
